action,center_ch1,center_error_to_target,center_ival,ch1,ch1_max,ch1_mean,ch1_min,ch1_ptp,ch1_std,ch2,ch2_max,ch2_mean,ch2_min,ch2_ptp,drop_from_baseline,elapsed_s,error_to_target,i_gain,index,ival,ival_drift,ival_end,ival_saturated,ival_start,local_drop,max_abs_delta_ch1,minus_ch1,minus_delta_ch1,n,ok,out2_saturated,p,periodic_or_large,phase,platform_like,plus_ch1,plus_delta_ch1,probe_inconclusive,probe_min_ch1_change,probe_point,readback_i,readback_ival,readback_p,reason,requested_i,requested_ival,requested_p,selected_direction,selected_start,selected_step,selected_stop_limit,setting,t_s,target_crossings,target_error_mean,too_deep
,,,,0.0897216796875,,,,,,-0.08154296875,,,,,,10.953121662139893,,0.0,4,-0.0814208984375,,,,,,,,,,,,-0.00048828125,,p_test,,,,,,,,,,,,,,,,,,-0.000488,2.2515275478363037,,,
,,,,0.107177734375,,,,,,-0.0814208984375,,,,,,11.513895988464355,,0.0,5,-0.0814208984375,,,,,,,,,,,,-0.00048828125,,p_test,,,,,,,,,,,,,,,,,,-0.000488,2.8123018741607666,,,
,,,,,0.107177734375,0.09629313151041667,0.08251953125,0.024658203125,0.00821761310129089,,-0.0814208984375,-0.08150227864583333,-0.08154296875,0.0001220703125,,11.513895988464355,,,,,0.0,-0.0814208984375,False,-0.0814208984375,,,,,6,True,False,,False,p_test_summary,False,,,,,,,,-0.00048828125,,,,-0.000488,,,,,-0.000488,,3,0.0024820963541666713,False
,,,,0.097412109375,,,,,,-0.08154296875,,,,,,12.19049620628357,,0.0,0,-0.0814208984375,,,,,,,,,,,,-0.0009765625,,p_test,,,,,,,,,,,,,,,,,,-0.000976,0.0,,,
,,,,0.0889892578125,,,,,,-0.08154296875,,,,,,12.75742220878601,,0.0,1,-0.0814208984375,,,,,,,,,,,,-0.0009765625,,p_test,,,,,,,,,,,,,,,,,,-0.000976,0.5669260025024414,,,
,,,,0.09375,,,,,,-0.0814208984375,,,,,,13.333280563354492,,0.0,2,-0.0814208984375,,,,,,,,,,,,-0.0009765625,,p_test,,,,,,,,,,,,,,,,,,-0.000976,1.1427843570709229,,,
,,,,0.105712890625,,,,,,-0.08154296875,,,,,,13.89364767074585,,0.0,3,-0.0814208984375,,,,,,,,,,,,-0.0009765625,,p_test,,,,,,,,,,,,,,,,,,-0.000976,1.7031514644622803,,,
,,,,0.096923828125,,,,,,-0.0814208984375,,,,,,14.452074766159058,,0.0,4,-0.0814208984375,,,,,,,,,,,,-0.0009765625,,p_test,,,,,,,,,,,,,,,,,,-0.000976,2.2615785598754883,,,
,,,,0.0888671875,,,,,,-0.0814208984375,,,,,,15.02632474899292,,0.0,5,-0.0814208984375,,,,,,,,,,,,-0.0009765625,,p_test,,,,,,,,,,,,,,,,,,-0.000976,2.8358285427093506,,,
,,,,,0.105712890625,0.09527587890625,0.0888671875,0.016845703125,0.005760955760027774,,-0.0814208984375,-0.08148193359375,-0.08154296875,0.0001220703125,,15.02632474899292,,,,,0.0,-0.0814208984375,False,-0.0814208984375,,,,,6,True,False,,False,p_test_summary,False,,,,,,,,-0.0009765625,,,,-0.000976,,,,,-0.000976,,3,0.00146484375,False
,,,,0.0418701171875,,,,,,-0.0814208984375,,,,,,15.694432497024536,,0.0,0,-0.0814208984375,,,,,,,,,,,,-0.001953125,,p_test,,,,,,,,,,,,,,,,,,-0.001953,0.0,,,
,,,,0.03515625,,,,,,-0.0814208984375,,,,,,16.264614582061768,,0.0,1,-0.0814208984375,,,,,,,,,,,,-0.001953125,,p_test,,,,,,,,,,,,,,,,,,-0.001953,0.5701820850372314,,,
,,,,0.039306640625,,,,,,-0.0814208984375,,,,,,16.83801531791687,,0.0,2,-0.0814208984375,,,,,,,,,,,,-0.001953125,,p_test,,,,,,,,,,,,,,,,,,-0.001953,1.143582820892334,,,
,,,,0.055908203125,,,,,,-0.0814208984375,,,,,,17.381727933883667,,0.0,3,-0.0814208984375,,,,,,,,,,,,-0.001953125,,p_test,,,,,,,,,,,,,,,,,,-0.001953,1.6872954368591309,,,
,,,,0.052978515625,,,,,,-0.0814208984375,,,,,,17.95710563659668,,0.0,4,-0.0814208984375,,,,,,,,,,,,-0.001953125,,p_test,,,,,,,,,,,,,,,,,,-0.001953,2.2626731395721436,,,
,,,,0.0645751953125,,,,,,-0.0814208984375,,,,,,18.517624378204346,,0.0,5,-0.0814208984375,,,,,,,,,,,,-0.001953125,,p_test,,,,,,,,,,,,,,,,,,-0.001953,2.8231918811798096,,,
,,,,,0.0645751953125,0.048299153645833336,0.03515625,0.0294189453125,0.010325028743298506,,-0.0814208984375,-0.0814208984375,-0.0814208984375,0.0,,18.517624378204346,,,,,0.0,-0.0814208984375,False,-0.0814208984375,,,,,6,True,False,,False,p_test_summary,False,,,,,,,,-0.001953125,,,,-0.001953,,,,,-0.001953,,0,-0.045511881510416664,False
,,,,0.0550537109375,,,,,,-0.081298828125,,,,,,19.189223289489746,,0.0,0,-0.0814208984375,,,,,,,,,,,,-0.00390625,,p_test,,,,,,,,,,,,,,,,,,-0.003906,0.0,,,
,,,,0.05810546875,,,,,,-0.0814208984375,,,,,,19.769793272018433,,0.0,1,-0.0814208984375,,,,,,,,,,,,-0.00390625,,p_test,,,,,,,,,,,,,,,,,,-0.003906,0.5805699825286865,,,
,,,,0.0697021484375,,,,,,-0.0814208984375,,,,,,20.327393770217896,,0.0,2,-0.0814208984375,,,,,,,,,,,,-0.00390625,,p_test,,,,,,,,,,,,,,,,,,-0.003906,1.1381704807281494,,,
